mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4498457431793213,0.016295117636916816,0.021377992630004884,0.0009865390596408602,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.7661250656371865,0.7602979703515482,0.7716554431852385,0.7553378388169902,0.7539946789020854,0.7614821993786098,0.006637313080309421,20
0.7958104610443115,0.21034737471082993,0.032727956771850586,0.0026780916613122936,0.1,4,150,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 150}",0.7658337626017208,0.7604893799282052,0.7716174250678679,0.7565183681561755,0.7566815794439269,0.7622281030395792,0.005788752949001741,11
0.3474461555480957,0.08261692728877842,0.018829727172851564,0.0010082724991349332,0.1,6,50,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50}",0.7629947820811241,0.7594762001442409,0.7739644581334578,0.757313758676056,0.7576040477160088,0.7622706493501775,0.006187510232779113,10
0.9006862163543701,0.40833459246075754,0.0470698356628418,0.024171769787010123,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.7614858659273409,0.7627654930978204,0.7723486029959511,0.7568776231171446,0.7555152012560518,0.7617985572788617,0.005933504214632599,15
1.172828483581543,0.311816165237224,0.04291963577270508,0.003419663260544479,0.1,6,150,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}",0.7614457281926267,0.7617479169734243,0.7734887021381144,0.7551786408551282,0.7573457548215856,0.7618413485961758,0.006331320989043174,14
0.6790055751800537,0.3106951921077701,0.03500103950500488,0.01705445859491759,0.1,8,50,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",0.7623866141581764,0.7611708086625342,0.7716253984358141,0.7564840810498468,0.7564457311621879,0.7616225266937119,0.005550642440873906,17
0.8496044158935547,0.2248615915424923,0.038432741165161134,0.004396046844455165,0.1,8,100,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",0.7634240055379782,0.7596598491520722,0.7764817465283392,0.7567630202440956,0.7573544555337419,0.7627366153992454,0.0072597397941527005,5
1.2204801082611083,0.11652711761831099,0.05332231521606445,0.004274984730846601,0.1,8,150,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 150}",0.7633916191113024,0.7608616592781275,0.7761012160478931,0.7563073425645731,0.7569938962435719,0.7627311466490936,0.00716758346675101,7
0.37386159896850585,0.12251751279649485,0.027820539474487305,0.0047305747290020735,0.2,4,50,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 50}",0.7638328406034084,0.76090005104289,0.7703907878159237,0.7561241866479804,0.753345794385159,0.7609187320990722,0.005975772227276368,21
0.6129662036895752,0.12189281122788874,0.026032352447509767,0.0035908479314772195,0.2,4,100,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 100}",0.765370666066248,0.7597989353298757,0.7739331116760085,0.7575194267806903,0.7570443627000444,0.7627333005105734,0.006333252859512041,6
0.9037392139434814,0.1936749495411037,0.0389711856842041,0.011934594411736476,0.2,4,150,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 150}",0.7637790086994953,0.7597366596438478,0.7744138546309468,0.7561060052938167,0.7593114869397577,0.7626694030415728,0.006357957883317915,8
0.34293136596679685,0.0717484985397164,0.019603967666625977,0.004095558074232642,0.2,6,50,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 50}",0.7635746018541196,0.7613564180013475,0.7704918360930633,0.7569199197247491,0.755332813474621,0.76153511782958,0.00536996952737639,19
0.6168070316314698,0.15066854975860391,0.0292694091796875,0.0008248848628044183,0.2,6,100,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100}",0.7641785899190434,0.7622133189875279,0.77167529219601,0.754515760527468,0.7560844609530769,0.7617334845166253,0.006149070308387363,16
1.075599479675293,0.27825271617364145,0.04985823631286621,0.009916088171937478,0.2,6,150,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 150}",0.7683406363685704,0.7658386248838048,0.7753078416016527,0.7544229293657431,0.7566684755915718,0.7641157015622685,0.007687568472058474,3
0.3469433307647705,0.02539295278171188,0.021604204177856447,0.003159131749271604,0.2,8,50,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 50}",0.7634093158208244,0.7597115665893909,0.7770927403236809,0.7598075297764355,0.7579402827091071,0.7635922870438877,0.006980333072973094,4
0.7588490009307861,0.10915330549841538,0.03573136329650879,0.002164711462062039,0.2,8,100,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 100}",0.7680894319042606,0.7649036148142059,0.7756645206827801,0.7570322913633015,0.7564063493579866,0.764419241624507,0.007196314220645453,2
0.9958060264587403,0.08987249269447173,0.04099292755126953,0.005312118792175352,0.2,8,150,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 150}",0.7676580670368801,0.7651474312486666,0.7764791669712274,0.7580630759748113,0.7552219331065806,0.7645139348676332,0.007502113585355295,1
